Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
jira_act,0.521157835,0.563139932,0.487743558,0.537095949,0.267423015,0.536998652,0.054647299,0.113063759,0.70329087
jira_wic,0.630161571,0.653846154,0.442743417,0.603622459,0.181236674,0.602605851,0.110726422,0.299055754,0.534883721
jira_der,0.429072129,0.412532637,0.510766581,0.449249099,0.182976259,0.44954546,-0.068495711,-0.204408152,0.746395564
jira_hba,0.367757912,0.380733945,0.583828775,0.398058428,0.20959596,0.398191689,-0.164815593,-0.423620829,0.924457035
jira_act,0.730288547,0.709897611,0.363922062,0.671974857,0.385185185,0.670911362,0.254228144,0.411565511,0.553078556
jira_hba,0.263044213,0.256880734,0.609988109,0.316522575,0.142312579,0.320179532,-0.286337916,-1.09162957,0.996222852
jira_jru,0.251285072,0.24137931,0.52173913,0.339767978,0.094594595,0.348955811,-0.181613624,-1.023255814,0.759233926
jira_gro,0.398031196,0.314285714,0.463382157,0.410671794,0.1,0.414796144,-0.083684907,-0.433949729,0.626065773
jira_hiv,0.45879946,0.431095406,0.452780229,0.485699423,0.265795207,0.485868513,-0.017436193,-0.040248449,0.789548023
jira_wic,0.243848038,0.223076923,0.641763625,0.282691118,0.048053024,0.287444733,-0.224431611,-1.738474778,0.782756665
jira_der,0.492093451,0.490861619,0.497416021,0.496688218,0.217844728,0.49668867,-0.004570219,-0.011462225,0.712754159
jira_der,0.356254062,0.420365535,0.637812231,0.390193869,0.159012346,0.390582018,-0.155213717,-0.44403853,0.85323475
jira_jru,0.324694795,0.298850575,0.50621118,0.384147202,0.118451025,0.388501727,-0.134381002,-0.611280648,0.731874145
jira_hiv,0.50233596,0.568904594,0.546337158,0.508026451,0.302916275,0.507898618,0.018143227,0.031740183,0.809322034
jira_wic,0.224042583,0.230769231,0.634415187,0.290457787,0.050167224,0.294947305,-0.215759726,-1.620155039,0.774815655
jira_hba,0.478204191,0.518348624,0.516052319,0.500852887,0.295424837,0.500851704,0.001857921,0.003518096,0.813975449
jira_act,0.345877944,0.372013652,0.590194846,0.390452445,0.16256525,0.390616373,-0.159148458,-0.495276495,0.8492569
jira_gro,0.562821001,0.571428571,0.494007989,0.53771581,0.166320166,0.537551428,0.043242678,0.123934227,0.610231425
jira_hiv,0.646682094,0.64664311,0.482789056,0.578317295,0.36130306,0.576947778,0.131111829,0.20274922,0.72740113
jira_jru,0.170557578,0.172413793,0.619565217,0.25610975,0.05988024,0.268987008,-0.292164454,-2.284815321,0.861833105
jira_der,0.24728952,0.295039164,0.69250646,0.301201987,0.107414449,0.301238604,-0.288034102,-1.156422881,0.935674677
jira_wic,0.450911489,0.446153846,0.543172076,0.45145934,0.107906977,0.451464921,-0.050842343,-0.201419993,0.658536585
jira_hba,0.376471326,0.389908257,0.521997622,0.431714111,0.229110512,0.432244132,-0.106819751,-0.269032939,0.871576959
jira_act,0.342403837,0.33447099,0.552482715,0.386886998,0.154330709,0.388376744,-0.158124013,-0.550440877,0.829087049
jira_gro,0.279541564,0.428571429,0.637816245,0.393981737,0.103626943,0.394467105,-0.120389194,-0.446609825,0.766138855
jira_act,0.811721436,0.788395904,0.296040226,0.744982552,0.464321608,0.742690742,0.369037548,0.527380263,0.47133758
jira_gro,0.360842686,0.242857143,0.499334221,0.34869795,0.073593074,0.358673262,-0.143398915,-0.966038547,0.671132765
jira_jru,0.176822303,0.172413793,0.656832298,0.243242359,0.057142857,0.252896393,-0.32007549,-2.475239398,0.894664843
jira_hba,0.294237965,0.298165138,0.568370987,0.358743256,0.170827858,0.361400848,-0.218572855,-0.71967749,0.946175637
jira_hiv,0.405925355,0.54770318,0.759046778,0.363277918,0.238828968,0.375210265,-0.187582389,-0.308752506,0.98799435
jira_der,0.367929196,0.441253264,0.611541774,0.414015048,0.171399594,0.414260614,-0.120592916,-0.331277822,0.824768946
jira_wic,0.213476848,0.284615385,0.734843846,0.274713525,0.054133138,0.274820496,-0.257169815,-1.46523892,0.859897901
jira_jru,0.887636539,0.850574713,0.282608696,0.781149731,0.43148688,0.773951785,0.385529952,0.588272267,0.403556772
jira_hba,0.42692186,0.47706422,0.569560048,0.453152844,0.259675406,0.453254869,-0.075181439,-0.153973269,0.873465534
jira_hiv,0.476949155,0.378091873,0.436893204,0.461417493,0.24180791,0.462577731,-0.047564713,-0.124438988,0.798022599
jira_gro,0.820192125,0.871428571,0.362183755,0.745527531,0.302729529,0.728239366,0.289643361,0.534554022,0.438489647
jira_der,0.62057502,0.663185379,0.494832041,0.578809126,0.28443449,0.576737175,0.117467546,0.217912294,0.661737523
jira_act,0.688879212,0.66552901,0.355122564,0.655121852,0.37037037,0.655048642,0.22930297,0.393870107,0.559447983
jira_wic,0.827650855,0.907692308,0.447030006,0.70846779,0.241308793,0.677233415,0.240956679,0.47008662,0.501418037
jira_gro,0.373378353,0.471428571,0.607190413,0.43032739,0.118067979,0.430760177,-0.077254402,-0.263425977,0.730816078
jira_act,0.478655535,0.467576792,0.532998114,0.46728925,0.214397496,0.467289261,-0.047466833,-0.118155966,0.771231423
jira_der,0.661054551,0.548302872,0.297157623,0.620782163,0.327357755,0.617682757,0.185821347,0.393187219,0.524584104
jira_hiv,0.347226944,0.328621908,0.535745808,0.390594545,0.189216684,0.392640093,-0.165665797,-0.504313225,0.896892655
jira_jru,0.57003641,0.540229885,0.436335404,0.551822852,0.226506024,0.551794052,0.067640311,0.1694269,0.612859097
jira_wic,0.633600264,0.623076923,0.432945499,0.594406068,0.176470588,0.594098035,0.0999432,0.282648124,0.530346001
jira_hba,0.527400212,0.504587156,0.460166468,0.521912892,0.307692308,0.52188544,0.035988618,0.06991158,0.775259679
jira_der,0.418381448,0.485639687,0.637812231,0.419395702,0.181463415,0.420616287,-0.109093863,-0.268978196,0.834750462
jira_gro,0.258693171,0.142857143,0.597869507,0.239681483,0.037807183,0.261033889,-0.255936106,-2.913520097,0.778319123
jira_hiv,0.307057158,0.35335689,0.621359223,0.365780436,0.18399264,0.365872806,-0.216343082,-0.606864407,0.955508475
jira_hba,0.264702353,0.247706422,0.624256837,0.305080308,0.135508156,0.308753942,-0.305836613,-1.20721855,1.011331445
jira_act,0.337393787,0.317406143,0.598994343,0.356765552,0.138909634,0.357844024,-0.205350375,-0.749183846,0.873673036
