Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
poi2_0,0.70406869,0.621621622,0.371841155,0.624881685,0.282208589,0.624875993,0.164299038,0.354472445,0.535031847
poi2_0,0.720558103,0.675675676,0.357400722,0.658929967,0.310559006,0.658736507,0.209920846,0.415541401,0.50955414
poi2_0,0.682993463,0.675675676,0.364620939,0.655217656,0.306748466,0.654938631,0.204603646,0.40611465,0.515923567
poi2_0,0.666796761,0.621621622,0.393501805,0.614013348,0.272189349,0.613985837,0.148998227,0.323733038,0.554140127
poi2_0,0.689433115,0.648648649,0.38267148,0.632794841,0.28742515,0.632654635,0.174102304,0.361730361,0.538216561
poi2_0,0.674309689,0.621621622,0.38267148,0.619471352,0.277108434,0.619469016,0.156591188,0.339102742,0.544585987
poi2_0,0.692116304,0.621621622,0.353790614,0.633796282,0.291139241,0.633709135,0.177431311,0.380088618,0.51910828
poi2_0,0.698555957,0.648648649,0.328519856,0.659965672,0.315789474,0.659872768,0.214234803,0.435376858,0.49044586
poi2_0,0.674260904,0.621621622,0.389891697,0.615838057,0.273809524,0.61582183,0.151517109,0.328856273,0.550955414
poi2_0,0.681334764,0.648648649,0.400722022,0.62347482,0.279069767,0.623153937,0.161462071,0.337181529,0.554140127
poi2_0,0.686164504,0.675675676,0.36101083,0.657076433,0.308641975,0.65684181,0.207254068,0.410828025,0.512738854
poi2_0,0.705239536,0.621621622,0.332129964,0.644331013,0.302631579,0.643994024,0.193731991,0.410828025,0.5
poi2_0,0.695921553,0.621621622,0.375451264,0.62308346,0.280487805,0.623082338,0.161716316,0.349349211,0.538216561
poi2_0,0.698458386,0.594594595,0.375451264,0.609387646,0.26993865,0.609284506,0.144146734,0.325130284,0.544585987
poi2_0,0.682554396,0.621621622,0.364620939,0.628462698,0.285714286,0.628436663,0.1695069,0.364718914,0.52866242
poi2_0,0.673138843,0.621621622,0.400722022,0.610347564,0.269005848,0.610289636,0.143994871,0.313486569,0.560509554
poi2_0,0.688115914,0.675675676,0.36101083,0.657076433,0.308641975,0.65684181,0.207254068,0.410828025,0.512738854
