Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
poi2_0,0.661381598,0.243243243,0.068592058,0.475981815,0.276923077,0.462698567,0.197583308,0.633404105,0.356687898
poi2_0,0.650648844,0.216216216,0.090252708,0.443511124,0.228571429,0.442118933,0.132426642,0.513933121,0.382165605
poi2_0,0.673724266,0.297297297,0.075812274,0.524174125,0.31884058,0.500230759,0.236039979,0.657209033,0.350318471
poi2_0,0.666162552,0.324324324,0.083032491,0.545339223,0.333333333,0.518631112,0.247199305,0.656316348,0.350318471
poi2_0,0.673090058,0.297297297,0.086642599,0.521093741,0.305555556,0.499351406,0.215812091,0.62507238,0.359872611
poi2_0,0.605717631,0.243243243,0.072202166,0.475058475,0.272727273,0.462462121,0.190467,0.620311394,0.359872611
poi2_0,0.664796566,0.297297297,0.054151625,0.530281214,0.349206349,0.501640949,0.284462075,0.721482339,0.331210191
poi2_0,0.682651966,0.27027027,0.054151625,0.505603299,0.322580645,0.482584366,0.257403269,0.705414013,0.337579618
poi2_0,0.715630793,0.243243243,0.075812274,0.474133335,0.268656716,0.462213662,0.183635541,0.607218684,0.363057325
poi2_0,0.631134745,0.243243243,0.064981949,0.476903369,0.28125,0.462922984,0.205009964,0.646496815,0.353503185
poi2_0,0.644501903,0.216216216,0.086642599,0.444390235,0.231884058,0.442405183,0.138088587,0.52866242,0.378980892
poi2_0,0.660113182,0.27027027,0.086642599,0.496843387,0.281690141,0.480378783,0.190528697,0.599363057,0.366242038
poi2_0,0.659430188,0.27027027,0.111913357,0.489921848,0.256410256,0.47797027,0.151532058,0.516878981,0.388535032
poi2_0,0.688213484,0.27027027,0.079422383,0.498803329,0.289855072,0.480955978,0.203389515,0.622929936,0.359872611
poi2_0,0.684603376,0.324324324,0.108303249,0.537772207,0.303797468,0.516126456,0.204610432,0.587579618,0.372611465
poi2_0,0.675139038,0.243243243,0.083032491,0.472277621,0.260869565,0.461680772,0.170739051,0.581033263,0.369426752
poi2_0,0.665186847,0.27027027,0.097472924,0.493888891,0.27027027,0.479420299,0.172797346,0.564012739,0.375796178
poi2_0,0.650160991,0.216216216,0.104693141,0.439977115,0.216216216,0.44085884,0.111523075,0.455015924,0.394904459
poi2_0,0.676651381,0.324324324,0.122743682,0.533400002,0.289156627,0.514405709,0.183799048,0.548301486,0.385350318
