Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost
ant1_7,0.702067337,0.753012048,0.348877375,0.700216525,0.507099391,0.697743097,0.338888961,0.41710604,0.604026846
ant1_7,0.656782571,0.722891566,0.409326425,0.653446973,0.458891013,0.650473745,0.261198773,0.337114094,0.66442953
ant1_7,0.726605905,0.795180723,0.341968912,0.723362728,0.532258065,0.718136848,0.379676333,0.44295302,0.579865772
ant1_7,0.701120544,0.801204819,0.398963731,0.693940311,0.501886792,0.684808326,0.334862548,0.390180148,0.62147651
ant1_7,0.693473375,0.728915663,0.341968912,0.692567085,0.498969072,0.691431163,0.325420111,0.412568639,0.609395973
ant1_7,0.702025719,0.777108434,0.373056995,0.697999066,0.504892368,0.692711722,0.337202232,0.404089277,0.612080537
ant1_7,0.705625611,0.692771084,0.281519862,0.705508515,0.518018018,0.705345084,0.353850399,0.46135979,0.57852349
ant1_7,0.733535177,0.78313253,0.316062176,0.731856515,0.542797495,0.728958676,0.393787192,0.463520909,0.565100671
ant1_7,0.691767068,0.71686747,0.333333333,0.691311541,0.49790795,0.690746754,0.323501356,0.415802831,0.608053691
ant1_7,0.668721518,0.560240964,0.222797927,0.659863954,0.479381443,0.651412187,0.307019857,0.468109981,0.591946309
poi2_0,0.631329886,0.486486486,0.223826715,0.614489881,0.307692308,0.603897408,0.194348587,0.476291578,0.436305732
poi2_0,0.538345204,0.513513514,0.436823105,0.537772207,0.214689266,0.537677858,0.049744281,0.131746564,0.617834395
poi2_0,0.640355157,0.486486486,0.205776173,0.621594047,0.321428571,0.608822315,0.212260671,0.509023355,0.420382166
poi2_0,0.639281881,0.675675676,0.397111913,0.638245106,0.290697674,0.637450597,0.181414488,0.363694268,0.544585987
poi2_0,0.601375744,0.675675676,0.472924188,0.596768218,0.259067358,0.594510447,0.130741648,0.264713376,0.611464968
poi2_0,0.606205483,0.324324324,0.111913357,0.536682495,0.3,0.51571588,0.199204346,0.577760085,0.375796178
poi2_0,0.607864182,0.486486486,0.270758123,0.595622631,0.276923077,0.589508776,0.152338749,0.39118896,0.477707006
poi2_0,0.632012879,0.72972973,0.465703971,0.624413082,0.279792746,0.619259795,0.17025356,0.319179052,0.592356688
poi2_0,0.584203337,0.702702703,0.534296029,0.572058947,0.246445498,0.567647176,0.109234897,0.211415973,0.659235669
poi2_0,0.691579666,0.72972973,0.346570397,0.690526616,0.3375,0.689229137,0.253075973,0.463198868,0.487261146
