Target,AUC,PD,PF,Gmean,Fmeasure,Balance,MCC,FIR,cost,costeff
AEEEM_EQ,0.743072948,0.162790698,0.01025641,0.401398866,0.276315789,0.407959203,0.290758535,0.563932981,0.535493827,0.358803987
AEEEM_EQ,0.710793083,0.124031008,0.01025641,0.350369655,0.217687075,0.380553929,0.24314229,0.552083333,0.550925926,0.369281046
AEEEM_EQ,0.71572252,0.15503876,0.020512821,0.389690233,0.261437908,0.40234614,0.251450177,0.522222222,0.541666667,0.363333333
AEEEM_EQ,0.748439674,0.19379845,0.015384615,0.436825978,0.318471338,0.429825629,0.31082491,0.554074074,0.524691358,0.351351351
AEEEM_EQ,0.700695687,0.093023256,0.01025641,0.303429022,0.167832168,0.358629589,0.19926164,0.535493827,0.563271605,0.377419355
AEEEM_EQ,0.737229179,0.186046512,0.015384615,0.428000301,0.307692308,0.42434517,0.302265528,0.552083333,0.527777778,0.353535354
AEEEM_EQ,0.648936593,0.186046512,0.015384615,0.428000301,0.307692308,0.42434517,0.302265528,0.552083333,0.527777778,0.353535354
AEEEM_EQ,0.738262771,0.131782946,0.005128205,0.362087194,0.231292517,0.386067124,0.270667832,0.578431373,0.546296296,0.366013072
AEEEM_EQ,0.680580402,0.147286822,0.015384615,0.380816059,0.251655629,0.396942602,0.256654811,0.538986355,0.543209877,0.364238411
AEEEM_EQ,0.719459352,0.15503876,0.01025641,0.391725182,0.264900662,0.402478163,0.281716944,0.562037037,0.538580247,0.360927152
AEEEM_EQ,0.695169946,0.217054264,0.015384615,0.462293162,0.35,0.446266891,0.335612435,0.559193122,0.515432099,0.344709898
AEEEM_JDT,0.76478097,0.519417476,0.12642225,0.673610829,0.518159806,0.64861549,0.392292864,0.600277468,0.252758275,0.125316456
AEEEM_JDT,0.77915383,0.45631068,0.092288243,0.643582605,0.504021448,0.610054365,0.39468691,0.632920037,0.25225677,0.134939759
AEEEM_JDT,0.758214378,0.40776699,0.078381795,0.613029756,0.477272727,0.577576253,0.377211321,0.640875006,0.256770311,0.143360752
AEEEM_JDT,0.756888785,0.524271845,0.178255373,0.656366949,0.474725275,0.64077009,0.323644442,0.523626435,0.272316951,0.131016043
AEEEM_JDT,0.772034907,0.383495146,0.087231353,0.591643766,0.446327684,0.559723073,0.337377199,0.612914693,0.265295888,0.14958775
AEEEM_JDT,0.79139715,0.529126214,0.109987358,0.686242683,0.542288557,0.658079438,0.427007479,0.628463372,0.244232698,0.121098627
AEEEM_JDT,0.786192972,0.533980583,0.102402023,0.692314878,0.554156171,0.662612781,0.444014864,0.641232789,0.240220662,0.1191067
AEEEM_JDT,0.751690744,0.529126214,0.120101138,0.682332436,0.531707317,0.656382185,0.410506566,0.613298611,0.248244734,0.122320303
AEEEM_JDT,0.759889779,0.048543689,0.008849558,0.219349263,0.089686099,0.32718969,0.124139691,0.648746239,0.303410231,0.2
AEEEM_JDT,0.755360672,0.252427184,0.048040455,0.490204516,0.351351351,0.470295837,0.288768387,0.642388705,0.276830491,0.169790518
AEEEM_JDT,0.777552072,0.417475728,0.073324905,0.621984212,0.491428571,0.584842759,0.396382893,0.654031863,0.252758275,0.140679953
AEEEM_JDT,0.792636824,0.582524272,0.152970923,0.702435048,0.536912752,0.685606865,0.406227708,0.585038449,0.250250752,0.113756614
AEEEM_JDT,0.783026279,0.378640777,0.046776233,0.60077399,0.485981308,0.559389458,0.420629274,0.695368156,0.250250752,0.145124717
AEEEM_JDT,0.790310901,0.480582524,0.073324905,0.667340885,0.545454545,0.629074768,0.452690729,0.672330122,0.239719157,0.127380952
AEEEM_JDT,0.780399642,0.524271845,0.134007585,0.673806679,0.514285714,0.650518019,0.384851217,0.590586575,0.254764293,0.125159642
